stage,efs,recall,ndc,latency_ms,rderr,start_time,end_time
initial,100,0.780379,3782.99,1.0492,0.995953,2025-12-13 18:35:58.070,2025-12-13 18:36:09.048
initial,200,0.782810,6329.01,1.8580,0.994615,2025-12-13 18:36:26.639,2025-12-13 18:36:45.723
initial,300,0.780541,8633.63,2.4595,0.994166,2025-12-13 18:37:10.120,2025-12-13 18:37:35.314
initial,400,0.778419,10787.29,3.3198,0.993962,2025-12-13 18:38:09.142,2025-12-13 18:38:42.870
initial,500,0.777123,12839.12,4.0122,0.993831,2025-12-13 18:39:22.359,2025-12-13 18:40:03.080
initial,1000,0.773483,22178.02,6.8305,0.993612,2025-12-13 18:41:12.499,2025-12-13 18:42:21.464
initial,2000,0.771483,38529.28,12.0465,0.993527,2025-12-13 18:44:23.144,2025-12-13 18:46:24.282
lazy_deletion,100,0.925842,4411.02,1.1818,1.001553,2025-12-13 18:46:38.578,2025-12-13 18:46:50.809
lazy_deletion,200,0.965490,7494.32,2.0530,1.000621,2025-12-13 18:47:11.782,2025-12-13 18:47:32.791
lazy_deletion,300,0.978624,10292.36,2.8893,1.000351,2025-12-13 18:48:02.315,2025-12-13 18:48:31.599
lazy_deletion,400,0.984919,12914.56,3.9447,1.000225,2025-12-13 18:49:08.799,2025-12-13 18:49:48.828
lazy_deletion,500,0.988753,15422.77,4.7400,1.000162,2025-12-13 18:50:39.319,2025-12-13 18:51:27.193
lazy_deletion,1000,0.995906,26832.55,8.6259,1.000052,2025-12-13 18:52:53.977,2025-12-13 18:54:20.791
lazy_deletion,2000,0.998719,46897.84,14.2416,1.000014,2025-12-13 18:56:46.378,2025-12-13 18:59:09.291
