efs, recall, ndc, latency, rderr
100, 0.930919, 3888.18, 0.792428, 1.00145
110, 0.937665, 4171.36, 0.849606, 1.00127
120, 0.943179, 4449.21, 0.9142, 1.00113
130, 0.947724, 4720.38, 0.972951, 1.00104
140, 0.951732, 4988.59, 1.02913, 1.00095
150, 0.95502, 5252.87, 1.09104, 1.00088
160, 0.95802, 5515.08, 1.14813, 1.00081
180, 0.962914, 6028.49, 1.25888, 1.00072
200, 0.967307, 6533.33, 1.36263, 1.00061
250, 0.974251, 7748.83, 1.62627, 1.00049
300, 0.979129, 8918.69, 1.88293, 1.0004
400, 0.985379, 11157.2, 2.38658, 1.00024
500, 0.989011, 13278.4, 2.86303, 1.00018
800, 0.994362, 19209.1, 4.23689, 1.00008
1000, 0.995923, 22911.8, 5.11317, 1.00006
2000, 0.998669, 39750.9, 9.25634, 1.00002
