efs, recall, ndc, latency, rderr
100, 0.904411, 3842.9, 0.795744, 1.00149
110, 0.911577, 4118.31, 0.855747, 1.00128
120, 0.917771, 4388.22, 0.913808, 1.0011
130, 0.923168, 4652.91, 0.972928, 1.00087
140, 0.927572, 4914.65, 1.03004, 1.00071
150, 0.931593, 5172.18, 1.08904, 1.0006
160, 0.935081, 5426.3, 1.14559, 1.00047
180, 0.940665, 5928.3, 1.25172, 1.00031
200, 0.945186, 6416.66, 1.35273, 1.00018
250, 0.953146, 7598.35, 1.61289, 0.999996
300, 0.95881, 8737.76, 1.8721, 0.999846
400, 0.965493, 10908.9, 2.36797, 0.999657
500, 0.969895, 12980.6, 2.85246, 0.999529
800, 0.975174, 18746.3, 4.21998, 0.999399
1000, 0.976747, 22354.6, 5.09708, 0.999356
2000, 0.979199, 38769.7, 9.2181, 0.999282
