deletion_type,deletion_percentage,efs,recall,ndc,latency_ms,rderr,start_timestamp,end_timestamp
lazy_deletion_1pct,1.00,100,0.913052,3888.08,0.7807,1.001790,2025-12-10 14:39:02.143,2025-12-10 14:39:10.352
lazy_deletion_2pct,2.00,100,0.904602,3918.12,0.7924,1.002039,2025-12-10 14:39:25.449,2025-12-10 14:39:33.736
lazy_deletion_3pct,3.00,100,0.896121,3947.19,0.7920,1.002290,2025-12-10 14:39:49.996,2025-12-10 14:39:58.281
lazy_deletion_4pct,4.00,100,0.887440,3980.21,0.7961,1.002548,2025-12-10 14:40:13.731,2025-12-10 14:40:22.061
lazy_deletion_5pct,5.00,100,0.879137,4009.58,0.8452,1.002796,2025-12-10 14:40:37.623,2025-12-10 14:40:46.474
lazy_deletion_10pct,10.00,100,0.837139,4166.06,0.8306,1.004093,2025-12-10 14:41:03.006,2025-12-10 14:41:11.726
lazy_deletion_15pct,15.00,100,0.793129,4350.04,0.8672,1.005546,2025-12-10 14:41:29.005,2025-12-10 14:41:37.993
lazy_deletion_20pct,20.00,100,0.749664,4548.95,0.9097,1.007080,2025-12-10 14:41:55.702,2025-12-10 14:42:05.118
real_deletion_1pct,1.00,100,0.912138,3833.84,1.1037,1.001815,2025-12-10 14:42:36.958,2025-12-10 14:42:48.645
real_deletion_2pct,2.00,100,0.902869,3808.81,0.8765,1.002090,2025-12-10 14:43:31.142,2025-12-10 14:43:40.586
real_deletion_3pct,3.00,100,0.893224,3789.16,0.8964,1.002364,2025-12-10 14:44:33.075,2025-12-10 14:44:42.663
real_deletion_4pct,4.00,100,0.883294,3762.31,0.8166,1.002671,2025-12-10 14:45:33.030,2025-12-10 14:45:41.730
real_deletion_5pct,5.00,100,0.874536,3746.56,0.8156,1.002898,2025-12-10 14:46:35.871,2025-12-10 14:46:44.533
real_deletion_10pct,10.00,100,0.829192,3677.51,0.8283,1.004381,2025-12-10 14:48:40.455,2025-12-10 14:48:49.349
real_deletion_15pct,15.00,100,0.782319,3655.95,0.7916,1.006003,2025-12-10 14:50:36.939,2025-12-10 14:50:45.377
real_deletion_20pct,20.00,100,0.736988,3660.58,0.7589,1.007604,2025-12-10 14:52:29.190,2025-12-10 14:52:37.326
