efs, recall, ndc, latency, rderr
100, 0.909613, 3744.57, 0.774261, 1.0018
110, 0.917553, 4013.13, 0.83296, 1.00162
120, 0.924481, 4277.23, 0.889897, 1.00145
130, 0.930606, 4538.74, 0.944376, 1.00132
140, 0.935541, 4795.95, 1.0014, 1.00122
150, 0.93989, 5049.11, 1.05542, 1.00114
160, 0.943782, 5300.28, 1.10648, 1.00105
180, 0.950604, 5794.57, 1.21123, 1.00089
200, 0.955854, 6276.1, 1.31797, 1.00078
250, 0.965761, 7446.53, 1.57481, 1.00059
300, 0.972282, 8568.63, 1.82761, 1.00046
400, 0.980228, 10716.9, 2.3229, 1.00031
500, 0.985054, 12762.7, 2.8503, 1.00023
800, 0.99216, 18473.3, 4.241, 1.0001
1000, 0.994221, 22043.9, 5.11515, 1.00007
2000, 0.998038, 38300.5, 9.93224, 1.00002
