efs, recall, ndc, latency, rderr
100, 0.904059, 3727.32, 0.778327, 1.00135
110, 0.911468, 3993.91, 0.837179, 1.00117
120, 0.917854, 4256.32, 0.890227, 1.001
130, 0.923297, 4515.66, 0.942381, 1.00087
140, 0.928121, 4772.63, 0.998593, 1.00076
150, 0.931998, 5023.58, 1.05796, 1.00067
160, 0.935571, 5273.61, 1.10708, 1.00058
180, 0.941606, 5763.82, 1.21383, 1.00042
200, 0.946158, 6243.47, 1.3247, 1.00032
250, 0.954945, 7407.98, 1.58332, 1.00011
300, 0.960138, 8522.62, 1.83582, 1
400, 0.96682, 10658.9, 2.32766, 0.999823
500, 0.970591, 12693.3, 2.79846, 0.999738
800, 0.975663, 18369.6, 4.16005, 0.999617
1000, 0.977256, 21921.9, 5.06599, 0.999574
2000, 0.979514, 38092.2, 9.28981, 0.999519
